,suicide_rate,suicide_rate,suicide_rate,suicide_rate,suicides_no,iso_alpha
,mean,min,max,std,sum,first
country,,,,,,
Albania,3.5,0.0,18.88,3.43,1970,ALB
Antigua and Barbuda,0.55,0.0,30.0,3.39,11,ATG
Argentina,10.47,0.24,63.01,11.81,82219,ARG
Armenia,3.28,0.0,24.82,3.81,1905,ARM
Aruba,9.5,0.0,224.97,25.02,101,ABW
Australia,12.99,0.0,45.34,10.8,70111,AUS
Austria,23.76,0.0,135.22,26.86,50073,AUT
Azerbaijan,1.86,0.0,9.52,2.01,1656,AZE
Bahamas,1.25,0.0,32.36,3.14,93,BHS
Bahrain,1.85,0.0,19.31,3.21,463,BHR
Barbados,2.97,0.0,60.0,6.66,177,BRB
Belarus,31.08,0.22,107.15,31.08,59892,BLR
Belgium,21.24,0.0,103.35,20.23,62761,BEL
Belize,6.23,0.0,64.14,11.5,348,BLZ
Bosnia and Herzegovina,4.62,0.0,38.45,9.18,318,BIH
Brazil,5.85,0.15,23.92,5.62,226613,BRA
Bulgaria,19.49,0.0,131.87,25.34,36388,BGR
Cabo Verde,11.15,0.0,40.37,14.19,42,CPV
Canada,12.47,0.23,36.26,10.03,107561,CAN
Chile,10.54,0.0,41.7,10.77,40895,CHL
Colombia,5.4,0.0,21.91,5.1,53080,COL
Costa Rica,7.09,0.0,37.56,7.34,6792,CRI
Croatia,22.84,0.0,125.28,26.09,18429,HRV
Cuba,21.22,0.0,133.23,26.33,41418,CUB
Cyprus,3.29,0.0,15.78,4.25,412,CYP
Czech Republic,18.49,0.0,110.49,20.66,43687,CZE
Denmark,14.1,0.0,70.79,14.4,15297,DNK
Dominica,0.0,0.0,0.0,0.0,0,DMA
Ecuador,6.3,0.22,20.91,4.73,20660,ECU
El Salvador,10.54,0.0,57.06,9.35,11683,SLV
Estonia,27.28,0.0,125.46,29.11,7034,EST
Fiji,5.11,0.0,61.19,8.75,304,FJI
Finland,22.77,0.0,90.06,20.3,33677,FIN
France,21.68,0.06,121.32,23.7,329127,FRA
Georgia,4.23,0.0,30.82,5.02,3224,GEO
Germany,15.56,0.12,88.26,17.26,291262,DEU
Greece,4.06,0.0,22.2,4.18,12368,GRC
Grenada,2.13,0.0,75.7,8.18,38,GRD
Guatemala,3.19,0.0,20.18,3.09,8149,GTM
Guyana,22.19,0.0,102.35,22.67,3426,GUY
Hungary,32.76,0.0,177.61,38.0,73891,HUN
Iceland,12.8,0.0,62.35,13.32,1108,ISL
Ireland,10.78,0.0,39.48,9.77,12574,IRL
Israel,8.95,0.0,58.06,9.43,11294,ISR
Italy,8.52,0.0,50.29,10.04,132060,ITA
Jamaica,0.52,0.0,8.15,1.32,184,JAM
Japan,21.57,0.19,78.77,17.58,806902,JPN
Kazakhstan,30.51,0.42,104.1,27.17,101546,KAZ
Kiribati,6.66,0.0,73.65,13.68,53,KIR
Kuwait,1.19,0.0,6.06,1.37,966,KWT
Kyrgyzstan,14.29,0.0,60.87,13.43,13090,KGZ
Latvia,29.26,0.0,118.84,30.13,12770,LVA
Lithuania,40.42,0.0,151.33,39.23,28039,LTU
Luxembourg,16.55,0.0,131.58,18.66,1958,LUX
Maldives,1.37,0.0,102.46,9.43,20,MDV
Malta,5.03,0.0,40.54,7.13,585,MLT
Mauritius,11.69,0.0,62.5,11.18,3894,MUS
Mexico,4.71,0.1,19.25,4.69,111139,MEX
Mongolia,18.44,0.67,43.69,15.06,423,MNG
Montenegro,9.95,0.0,131.39,21.89,472,MNE
Netherlands,10.65,0.0,42.81,8.3,50833,NLD
New Zealand,14.39,0.0,54.79,11.9,14383,NZL
Nicaragua,6.57,0.0,17.5,5.6,2013,NIC
Norway,12.94,0.0,37.72,9.58,16992,NOR
Oman,0.74,0.0,18.51,3.08,33,OMN
Panama,5.81,0.0,33.11,6.12,3483,PAN
Paraguay,4.22,0.0,20.07,3.85,4783,PRY
Philippines,2.42,0.0,12.97,2.19,21330,PHL
Poland,15.27,0.09,45.69,14.72,139098,POL
Portugal,11.34,0.0,71.42,15.25,24061,PRT
Puerto Rico,10.19,0.0,75.17,12.91,9043,PRI
Qatar,1.79,0.0,66.18,5.23,574,QAT
Republic of Korea,25.14,0.2,185.37,33.41,261730,PRK
Romania,12.49,0.0,40.6,11.97,72777,ROU
Russian Federation,34.89,0.44,117.3,33.21,1209742,RUS
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0,KNA
Saint Lucia,7.2,0.0,83.4,13.02,230,LCA
Saint Vincent and Grenadines,5.76,0.0,157.48,15.32,124,VCT
